0 1 3121933 1 4510902 23 || 1 1 m64016_190308_203402/56820944/ccs
1 1 4510902 1 3121933 23 || 1 1 m64016_190308_203402/56820944/ccs
2 1 6388752 1 8527416 31 || 1 1 m64016_190404_191032/115016462/ccs
3 1 6899668 1 24255673 33 || 2 1 m64016_190404_191032/153551828/ccs
4 1 8527416 1 6388752 31 || 1 1 m64016_190404_191032/115016462/ccs
5 1 8570340 1 36151519 33 || 2 1 m64016_190308_203402/111542391/ccs
6 1 15990193 1 145169225 6 || 2 2 m64016_190404_191032/168953536/ccs
7 1 16152341 1 16660456 7 || 2 2 m64016_190404_191032/74910187/ccs
8 1 16152388 1 16660456 15 || 2 2 m64016_190404_191032/23004017/ccs
9 1 16396440 1 145169225 64 || 2 2 m64016_190404_191032/113116759/ccs
10 1 16401864 1 145169225 28 || 2 2 m64016_190404_191032/127076418/ccs
11 1 16660456 1 16152341 21 || 2 2 m64016_190404_191032/74910187/ccs
12 1 24255673 1 6899668 33 || 1 2 m64016_190404_191032/153551828/ccs
13 1 29171081 1 36152269 36 || 2 2 m64016_190404_191032/114623729/ccs
14 1 36151519 1 8570340 33 || 1 2 m64016_190308_203402/111542391/ccs
15 1 36152269 1 29171081 36 || 2 2 m64016_190404_191032/114623729/ccs
16 1 121829392 1 125885376 2 || 1 2 m64016_190311_190934/133104904/ccs
17 1 121842774 1 126262393 2 || 2 1 m64016_190401_135746/83167197/ccs
18 1 121952589 1 125375160 2 || 1 1 m64016_190308_203402/72745656/ccs
19 1 121963936 1 125918185 2 || 1 1 m64016_190308_203402/13043306/ccs
20 1 121982003 1 125978226 3 || 1 2 m64016_190404_191032/47186492/ccs
21 1 121991531 1 124361168 2 || 1 1 m64016_190311_190934/13304407/ccs
22 1 122047625 1 124157114 6 || 2 2 m64016_190311_190934/168364052/ccs
23 1 122087439 1 126292612 9 || 1 1 m64016_190311_190934/97583611/ccs
24 1 122157459 1 126207690 2 || 2 1 m64016_190313_012414/45089760/ccs
25 1 122165810 1 125202851 2 || 1 1 m64016_190313_012414/116394210/ccs
26 1 122254670 1 126106281 5 || 2 1 m64016_190311_190934/87294717/ccs
27 1 122273694 1 124029185 2 || 2 1 m64016_190313_012414/34670117/ccs
28 1 122275391 1 125916144 3 || 2 1 m64016_190308_203402/69797300/ccs
29 1 122454521 1 126273596 2 || 2 1 m64016_190313_012414/61016766/ccs
30 1 122910220 1 125917956 2 || 1 1 m64016_190404_191032/81723798/ccs
31 1 123349266 1 124925612 13 || 2 2 m64016_190404_191032/68028357/ccs
32 1 123353422 1 124901801 4 || 1 2 m64016_190330_112351/105122532/ccs
33 1 123378585 1 124516181 5 || 1 1 m64016_190314_073847/3604879/ccs
34 1 123522250 1 124199904 3 || 2 2 m64016_190404_191032/65930222/ccs
35 1 123845306 1 125262676 4 || 1 1 m64016_190308_203402/126681495/ccs
36 1 123906479 1 126735644 8 || 2 1 m64016_190404_191032/43255659/ccs
37 1 123993467 1 125250082 5 || 1 1 m64016_190404_191032/63769165/ccs
38 1 124023745 1 122477972 2 || 1 2 m64016_190323_112329/82576331/ccs
39 1 124084246 1 124862229 4 || 1 1 m64016_190404_191032/54528048/ccs
40 1 124154394 1 125911304 2 || 2 2 m64016_190330_112351/58524906/ccs
41 1 124164248 1 125858690 18 || 2 2 m64016_190308_203402/89654590/ccs
42 1 124169349 1 125858866 5 || 2 2 m64016_190404_191032/123865746/ccs
43 1 124176140 1 125858690 2 || 2 2 m64016_190401_135746/121374343/ccs
44 1 124177852 1 125858690 4 || 2 2 m64016_190404_191032/86115298/ccs
45 1 124214837 1 125932714 2 || 2 2 m64016_190404_191032/172950428/ccs
46 1 124245248 1 125925675 2 || 1 1 m64016_190404_191032/129631730/ccs
47 1 124250688 1 125920237 2 || 1 1 m64016_190404_191032/161680041/ccs
48 1 124262735 1 125920141 2 || 2 2 m64016_190313_012414/3670194/ccs
49 1 124268377 1 125918185 22 || 1 1 m64016_190330_112351/60426424/ccs
50 1 124361168 1 121991531 2 || 1 1 m64016_190311_190934/13304407/ccs
