tarseq_0 248387328 248387328 chr1
tarseq_1 242696752 242696752 chr2
tarseq_2 201105948 201105948 chr3
tarseq_3 193574945 193574945 chr4
tarseq_4 182045439 182045439 chr5
tarseq_5 172126628 172126628 chr6
tarseq_6 160567428 160567428 chr7
tarseq_7 146259331 146259331 chr8
tarseq_8 150617247 150617247 chr9
tarseq_9 134758134 134758134 chr10
tarseq_10 135127769 135127769 chr11
tarseq_11 133324548 133324548 chr12
tarseq_12 113566686 113566686 chr13
tarseq_13 101161492 101161492 chr14
tarseq_14 99753195 99753195 chr15
tarseq_15 96330374 96330374 chr16
tarseq_16 84276897 84276897 chr17
tarseq_17 80542538 80542538 chr18
tarseq_18 61707364 61707364 chr19
tarseq_19 66210255 66210255 chr20
tarseq_20 45090682 45090682 chr21
tarseq_21 51324926 51324926 chr22
tarseq_22 154259566 154259566 chrX
